FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,ktj_7_19,tung_pct,aadt_koretojer,hvdt_koretojer,cykler_7_19,ladcykler_pct,aadt_cykler,hvdt_cykler,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,taelle_dato,aar,link,tung_pct_real,ladcykler_pct_real,lastbiler_7_19,lastbiler_pct,elloebehjul_7_19,elloebehjul_pct,wkb_geometry
trafiktaelling.1,1,H.C. Andersens Boulevard,sydøst for Jarmers Plads,4 eller 5A,3,Andre faste tællinger,42650,"3,8",49900,55900,21601,"1,2",22200,26400,,,,,,,,,,,20160921,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UJpxEGxaCg.pdf,3.79999995,1.20000005,1016,,,,POINT (12.565491397230991 55.67796084860272)
trafiktaelling.2,3,Bredgade,nord for Kongens Nytorv,3 eller 4,3,Andre faste tællinger,9946,"4,6",11600,13000,6261,"2,4",6400,7600,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/txHU3EqDSV.pdf,4.5999999,2.4000001,145,,,,POINT (12.587600106423727 55.68116360238515)
trafiktaelling.3,4,Christian d. IV's Bro,syd for Niels Juels Gade,ingen,3,Andre faste tællinger,13016,"0,3",15200,17100,4510,"2,6",4600,5500,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cpXRg96fo9.pdf,0.30000001,2.5999999,41,,,,POINT (12.587161874224892 55.67576459605928)
trafiktaelling.4,5,Dronning Louises Bro,øst for Nørrebrogade,,2,Søsnittet,4359,"14,8",5100,5700,34308,"3,4",35300,41900,,,,,,,,,,,20180913,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/AGGnpcWVvI.pdf,14.80000019,3.4000001,90,,,,POINT (12.563784830098982 55.68673054140091)
trafiktaelling.5,6,Kampmannsgade,ud for søerne,,2,Søsnittet,4618,"3,5",5400,6000,9553,"2,0",9800,11700,,,,,,,,,,,20180904,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/GeHWdw7YE7.pdf,3.5,2,51,,,,POINT (12.557917540101617 55.67797681383055)
trafiktaelling.6,7,Ellebjergvej,øst for Poppelstykket,138,3,Andre faste tællinger,30684,"3,7",35900,40200,3197,"3,1",3300,3900,,,,,,,,,,,20160524,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/CSjbk8swcj.pdf,3.70000005,3.0999999,935,,,,POINT (12.511031602695915 55.65061985186046)
trafiktaelling.7,8,Englandsvej,nord for Følfodvej,229 eller 230,1,Kommunegrænsen,11239,"2,2",13100,14700,2215,"3,7",2300,2700,,,,,,,,,,,20180515,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/91Obsf461G.pdf,2.20000005,3.70000005,189,,,,POINT (12.599845636263538 55.63848509063259)
trafiktaelling.8,9,Farvergade,nordøst for Rådhuspladsen,6 eller 17,3,Andre faste tællinger,531,"2,1",600,700,2724,,2800,3300,,,,,,,,,,,20151001,2015,http://kk.sites.itera.dk/apps/kk_trafik/pdf/tY91YGf9p1.pdf,2.0999999,,11,,,,POINT (12.572503733886563 55.6759724596037)
trafiktaelling.9,11,Frederiksborggade,øst for Nørre Voldgade,10,3,Andre faste tællinger,64,,100,100,1260,,1300,1500,35606,41700,43100,,,,,,,41700,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/gsufDE4hgG.pdf,,,0,,,,POINT (12.572683528145083 55.683211342280345)
trafiktaelling.10,12,Frederiksborggade,sydøst for Søtorvet,43 eller 54,3,Andre faste tællinger,4146,"15,2",4900,5400,17085,"3,2",17600,20800,,,,,,,,,,,20180925,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/awJ4FY3wSP.pdf,15.19999981,3.20000005,65,,,,POINT (12.565982914961095 55.68584794482788)
trafiktaelling.11,13,Frederiksborgvej,syd for Gladsaxevej,221,1,Kommunegrænsen,11298,"3,7",13200,14800,5827,"1,4",6000,7100,,,,,,,,,,,20180517,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/oEeV1xJBiQ.pdf,3.70000005,1.39999998,88,,,,POINT (12.525153439020626 55.72710588532442)
trafiktaelling.12,14,Frederikssundsvej,ved fæstningsvolden,356,1,Kommunegrænsen,15914,"3,8",18600,20800,4131,"1,5",4300,5000,,,,,,,,,,,20180523,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/MyFaaswn2w.pdf,3.79999995,1.5,219,,,,POINT (12.467131018190686 55.71336181629868)
trafiktaelling.13,16,Gl. Køge Landevej,syd for Vigerslevvej,220A,1,Kommunegrænsen,12818,"4,7",15000,16800,3844,"1,6",4000,4700,,,,,,,,,,,20180612,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/DsOEZUPWhJ.pdf,4.69999981,1.60000002,277,,,,POINT (12.501067806935957 55.64241479721176)
trafiktaelling.14,17,Gothersgade,sydøst for Søtorvet,160 eller 175,3,Andre faste tællinger,3752,"1,8",4400,4900,12174,"2,2",12500,14900,,,,,,,,,,,20180925,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/lPghwXsZ18.pdf,1.79999995,2.20000005,57,,,,POINT (12.566545050457881 55.68641228608003)
trafiktaelling.15,18,Grøndals Parkvej,nord for Peter Bangs Vej,ingen,3,Andre faste tællinger,12445,"3,9",14600,16300,2173,"1,7",2200,2700,,,,,,,,,,,20180531,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ep5cW6B3Vc.pdf,3.9000001,1.70000005,252,,,,POINT (12.487389543509753 55.677771624338185)
trafiktaelling.16,19,Gyldenløvesgade,ud for Søpavillonen,24,2,Søsnittet,41033,"3,7",48000,53800,28185,"2,2",29000,34400,,,,,,,,,,,20180905,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/nYe1TjaQWT.pdf,3.70000005,2.20000005,724,,,,POINT (12.559080062995465 55.681775659145515)
trafiktaelling.17,20,Hareskovvej,nordvest for Mosesvinget (Hillerødmotorvejen),,1,Kommunegrænsen,50811,"1,8",59400,66600,5494,"1,0",5700,6700,,,,,,,,,,,20180612,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/3wkpZxK50u.pdf,1.79999995,1,602,,,,POINT (12.50390557494531 55.7134171158951)
trafiktaelling.18,21,Hillerødgade,vest for Borups Allé,89 eller 112,3,Andre faste tællinger,14553,"3,3",17000,19100,4409,"2,5",4500,5400,,,,,,,,,,,20170517,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/n2Qff6aoz5.pdf,3.29999995,2.5,331,,,,POINT (12.524266152957384 55.69677357124775)
trafiktaelling.19,23,Jagtvej,syd for Nørrebrogade,69,3,Andre faste tællinger,13726,"3,8",16100,18000,13225,"2,1",13600,16100,,,,,,,,,,,20170517,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/0Enmrw2QUu.pdf,3.79999995,2.0999999,257,,,,POINT (12.54776058939393 55.69340378959886)
trafiktaelling.20,24,Jyllingevej,vest for Tudskærvej,125,1,Kommunegrænsen,28982,"3,1",33900,38000,2210,"2,6",2300,2700,,,,,,,,,,,20180529,2018,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gwdzksktMB.pdf,3.0999999,2.5999999,590,,,,POINT (12.468280663263844 55.69149076083171)
trafiktaelling.21,25,Kalvebod Brygge,sydvest for Bernstorffgade,37,2,Søsnittet,32543,"5,0",38100,42600,2860,"3,4",2900,3500,,,,,,,,,,,20180912,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/foOrGUciJf.pdf,5,3.4000001,1007,,,,POINT (12.569969800636589 55.66710839094156)
trafiktaelling.22,26,Knippelsbro,nord for Torvegade,,2,Søsnittet,19748,"6,0",23100,25900,27910,"2,3",28700,34100,,,,,,,,,,,20180919,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/SPkXcAycpD.pdf,6,2.29999995,436,,,,POINT (12.586998878059132 55.67489294070491)
trafiktaelling.23,27,Kristen Bernikows Gade,nordvest for Østergade,2,3,Andre faste tællinger,3979,"5,5",4700,5200,15755,"2,2",16200,19200,,,,,,,,,,,20180927,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9Zw61sXjXY.pdf,5.5,2.20000005,126,,,,POINT (12.582295655249021 55.67998567768585)
trafiktaelling.24,29,Langebro,vest for Amager Boulevard,,2,Søsnittet,44598,"4,4",52200,58400,32607,2,33600,39800,,,,,,,,,,,20180918,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/G7k42Zm3tQ.pdf,4.4000001,2,1162,,,,POINT (12.578524713360443 55.67042883796164)
trafiktaelling.25,31,Lyngbyvej,ved Emdrupvej,144,1,Kommunegrænsen,67887,"3,0",79400,88900,0,,0,0,,,,,,,,,,,20180517,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/688OSI3dmT.pdf,3,,1834,,,,POINT (12.556679854965624 55.71896950142801)
